dispatch_id,dispatch_date,machine,venue_group,pod_location,product,action,quantity,expiry_date,expiry_flag,created_dxb,decision,decision_notes,original_comment
0766af4e-4c7b-45bb-89c7-8b26e52a28dd,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Coca Cola - Zero,Refill,2,2026-10-04,,2026-05-02,,,Fill to 12 - Split 1/3 [voided carried to 2026-05-03 driver no-show]
984a7953-8348-4e31-8197-580cee4197fa,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Evian - Regular,Refill,4,2027-06-07,,2026-05-02,,,[voided carried to 2026-05-03 driver no-show]
124033ae-3b01-4845-a2ec-853455338348,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Evian - Regular,Refill,4,2027-04-29,,2026-05-02,,,Fill to 15 [voided carried to 2026-05-03]
d0f2f5bb-a112-44d6-946c-3f757c51e067,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Krambals - Green Olives & Sea Salt,Refill,6,2026-07-10,,2026-05-02,,,[EMPTY] Fill to 6 [WH_CENTRAL fallback] [voided]
627bb24c-2f28-4b00-b628-c90fadaf9f5c,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Organic Larder - Rice Cake Milk Chocolate,Refill,2,2026-12-12,,2026-05-02,,,[EMPTY] Fill to 14 [PARTIAL] split with VML-1004 [voided]
8e2cc39a-770e-48ae-b58c-566877f51178,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Pepsi - Black,Refill,2,2026-10-17,,2026-05-02,,,Fill to 12 Split 2/3 [voided]
6391e093-d453-4ebf-ac71-240fdf8a0fae,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Pepsi - Regular,Refill,1,2026-12-23,,2026-05-02,,,Fill to 12 Split 3/3 [voided]
e38480f1-3a3a-46f1-843f-97fa05b57a09,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Perrier - Regular,Add New,10,2027-02-27,,2026-05-02,,,REPLACES Barkthins - Sparkling Water new to NOVO [voided]
575be445-2d64-40c1-9265-16508f83486e,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Tamreem Date Ball - Coconut Dates,Refill,2,2026-12-12,,2026-05-02,,,Fill to 10 Split 2/2 [WH_MCC] [voided]
ef14ad50-df72-4b33-b69c-ce56a5622850,2026-05-02,NOVO-1023-0000-W0,NOVO,One Central,Tamreem Date Ball - Sesame Dates,Refill,3,2026-11-30,,2026-05-02,,,Fill to 10 Split 1/2 [WH_MCC] [voided]
